latitude , longitude,address,name 
19.2240612,72.8666469,"Daulat Nagar Above Punjab National Bank, Borivali(E) Mumbai.",Arihant Heart and Surgical Hospital
18.9519338,72.8189832,"Laud Mansion,4Th Floor,M.Karve Road.",Charak Clinic Nursing Home
19.046295,72.8415449,35/B Merwanji Bldg Opp K E M Hospital Gate No 4 Parel Mumbai-,Dalvi Plus
19.0796375,72.9070116,"Amrut Kunj Anjaria Wadi, Near Rly Stn M G Road Ghatkopar East",Doshi Nursing Home
19.0176169,72.8561288,Mumbai,Dr Kiran Katar Clinic
19.0176169,72.8561288,Mumbai,Dr Satish Padmanabhan Clinic
19.0759837,72.8776559,Rameshwara Complex,Dr. Ramesh Chaudhari Clinic
19.0176169,72.8561288,Mumbai,Dr.Jaydeep S Khedkar Clinic
19.1738547,72.8476718,"1St Floor Munshi Estate, M G Road Mulund (West)",Gokul Nursing Home and Iccu
19.1630556,72.8390592,"M.G.Road, Goregaon(W), Mumbai",Kapadia Multi Speciality Hospital
19.0599051,72.8342113,"8 Roseland Buld OppositeNational College, Jn.Of Linking And Waterfield Road Bandra (W).",Laser Eye Surgery Center
19.1963422,72.8105333,"B-Wing Shalimar Bldg. Near Hdfc Bank, Marve Road Malad (W) Mumbai.",Marve Nursing Home
19.2539332,72.8672448,"Umang Co-Op-Hsg Soc, C-3/4 Rukhason Nagar Sant Dnyneshwar Rd Dahisar (E",Mauli Hospital
18.9380988,72.8343567,"379,D.N.Road,Fort,Mumbai-",Phiroze M.Dastoor and Co
19.0759837,72.8776559,"Parathana Building First Floor, Mumbai",Prathana Hospital
19.0176169,72.8561288,Mumbai,Radiation Medicine Centre Bhabha Atomic Research 
19.0759837,72.8776559,"At Sai Prasad Shopping Centre, Mumbai",Sai Hospital
19.0963781,72.8563994,"101, Homal Mahal M G Road Vile Parle(E)",Sanjawalas Maternity and Gynacologist
19.2550851,72.8571396,"101-102,Shree Shivam Chs,Raghunath Mhatre Road,Dahisar(W)",Shree Arihant Eye Care Centre
19.0834108,72.9022333,"Nilkanth Shopping Centre Corner Cama Lane, Ghatkopar, West Mumbai",Shreeji Hospital
19.0759837,72.8776559,0,Uday Pathak Hospital
18.9435836,72.8228706,"Gobind Mahal,1St Floor86-B , Subhash Road, Marine Drive Mumbai",Shroff Eye Clinic
19.1055042,72.8500559,Netaji Subash Road,Smt. Kamladevi Gauridutt Mittal Ayurvedic Hosp
18.952263,72.8340598,"58,Mohammedali Road, Mumbai",Dholkawalla Maternity Home
18.952263,72.8340598,58 Mohammedali Road Mumbai,The Hussonally Abdulally Dholkawalla Wakf Charity Trust
19.0759837,72.8776559,"Backbay View Bldg., 1St Floor, 3A, M.P. Marg,Charni Road, Mumbai",Bay View Clinic
18.9575324,72.8190671,"9,Dr, D.D. Sathe Marg, Mumbai","Brahman Sabha, Mumbai. Mhaskar Gruh And General Nu"
19.2461644,72.8509056,"Chaya Surgical Wing, Sumati Maternity Home,S V Road Sumicha Bldg, Borivali (W) Mumbai",Chhaya Surgical Home
19.0759837,72.8776559,"Sarojini Sadan, Congress House Cpd.V.P.Road Mumbai",Dr. Rajesh D Mody - V.P.Road
19.0176169,72.8561288,V.P.Road Mumbai,Dr.Pai Dhungat Maternity and Nursing Home
18.956084,72.8151877,18 Kala Bhavan 3 Mathew Road Behind Opera Hosue Mumbai-,Endocrine Metabolic Laboratory
19.0759837,72.8776559,"Parekh House, 14 Mama Armanand Marg, Mumbai",Hematology Laboratory
18.9570051,72.8239724,"10/12, Dr. Wilson Street, 2Nd Floor, Mumbai",Trinity Clinic Pvt.Ltd
19.0759837,72.8776559,"Laud Mansion, 2Nd Floor, 21, Queens Rd., Opposite Chanrni Rd, Rly.Stn., Mumbai",V.A.D.T Nursing Home
18.9276348,72.8330646,58 Royal Terrace Wode House Road Colaba,Indu Clinic
18.9002475,72.8152995,"Colaba, Mumbai",Inhs Asvini
19.1198548,72.8464601,Andheri Mumbai,Sujata Medicare (Sujata Gyanaecology Clinic)
18.9190478,72.8294948,"103,Kartar Bhavan,Colaba M",Kataria Eye Clinic
19.0597308,72.8989478,"201, Coral Classic, Plot No.955/956, 20Th Road, Chembur, Mumbai",Aayush Eye Clinic
18.956136,72.8081781,"5, Babulnath Road Chowpatty",Bombay City Eye Institute and Research Center
18.9591784,72.8145383,"6, Kailash Darshan, Kennedy Bridge, Nana Chowk, Mumbai",Dr Galas Nursing Home
19.0759837,72.8776559,"R N Gamadia Polyclinic, No 14, 19, Taredeo, Mumbai-",Dr Turners S Speciality Dental Centre
18.9636754,72.8161899,"Modi Bhavan, Pandita Ramabai Road, Gamdevi, Grant Road (W), Mumbai",Dr. Nisars Eye Care Centre
18.9602406,72.8103742,"Madhav Nivas, 8. Laburnum Road Gamdevi, Mumbai-",Dr.Mangeshikar Clinic
18.95753,72.8088794,"31 Surya Prakash Ground Floor, Babulnath Road, Chowpatty, Mumbai",Eye-Q Vision Care
19.0759837,72.8776559,"6,Jaymahal,French Bridge,Opera House, Next To Patidar Samaj Hall, Mumbai,",Infiniti Eye Hospital
18.9591937,72.8122626,"(Dr Mangeshikar Clinic) Madhav Niwas, 8. Laburnum Rd, Bombay",Mangeshikar Access Gynecology and Infertility Center
18.9576029,72.8103199,"Mehta House,36, Pandita Ramabai Road, OppositeGirgaon Chowpaty,Girgaon, Mumbai,",N M Medical Centre
18.9653852,72.8147262,E-29 Tukaram Javji Marg Bhatia Hospital Lane Grant Road W Mumbai,New Babulnath Ent Clinic
18.9537342,72.8183134,"534, Bombay Mutual Terrace, 4Th Floor, Opera House, Mumbai",Palshetkar Patil Nursing Home
18.9563549,72.8133985,"202-A, Sukh Sagar,2Nd Floor, N S Patkar Marg, Mumbai",Samyak Drishti Eye Centre
19.0759837,72.8776559,"79, Kailas Nagar, 658, Tardeo Road, Opposite Bhatia Hospital, Mumbai,",Shah Eye Clinic and Nursing Home
18.9586748,72.8110314,15 Dar Ui Muluk 26 Pandita Ramabai Road Mumbai-,The Vascular Clinic
19.0176169,72.8561288,Mumbai,Ipc Heart Care
18.9688538,72.8283084,"245-A, Maulana Azad Rd, Nagpada, Mumbai",Nagori Clinic And Nursing Home
18.965987,72.818904,"Bldg. No.2, 1St Floor, R.No. 4, 5 & 10, Navjivan Society, Lamington Road, Mumbai",Sadhu-Kamal Eye Hospital
19.0552812,72.8892082,Plot No. 22 Swastik Park Chembur,Swastik Nursing Home
18.9506004,72.8382547,"Imamwada Road, Opposite Mughal Masjid, Mumbai",M.H. Saboo Siddique Maternity and General Hospital - Masjid
19.1330996,72.8372689,"Videocon Tower,Thakur Complex,Kandivali(E)",Gokul Hospital
18.970835,72.8357489,"Aga Hall, Nesbit Road, Mazgaon, Mazagaon, Mumbai,",Prince Aly Khan Hospital
18.9927476,72.8310679,Yashashree Society N M Joshi Marg Opp Zee News Bldg Lower Parel Mumbai,Sankalp Eye Care Centre
19.0176169,72.8561288,Mumbai,Dr Chetan Shetty Clinic
18.99833,72.83864,287 Dr B Ambedkar Road Parel,Dr G M Bhargava Clinic
18.9952875,72.8364244,"5, Sindhudurg, Mahadev Palav Marg, Lalbaug,Mumbai",Dr.Zankars Diagnostic Centre
19.0021567,72.8415793,"Parel, Mumbai:",K B H B Charitable Ophthalmic and E.N.T Hospital
19.003095,72.8393973,58-60 Jehangir Merwanji Street Parel Mumbai,K B Haji Bachooali Charitable Ophthalmic and E N T H
19.0857348,72.9138503,Parel,Municipal Corporation Of Greater Mumbai
18.9840396,72.835737,100 Dr B A Rd Chichpokali E Mumbai,N S Optical Contact Lens Clinic Ghatkopar
19.004888,72.8456268,"96/97, Jerbai Wadia Road, Near Tata Hospital, Opp Vicco House, Bhoiwada, Parel Mumbai",Parel Institute Of Orthopaedic Specialities
18.991758,72.831223,"B-104,105 Prithvi Vandan N M Joshi Marg N M Joshi Marg Mumbai",Harish Nursing Home
18.9915925,72.8315014,"13, Padmavati Darshan,Near Deepak Cinema, N M Joshi Marg, Mumbai",Jain Diagnotic Centre
19.0187123,72.8480251,Mayur Niwas, 169/A
19.021324,72.8424178,Dadar Mumbai,Ashirvad Clinic(Dr.Vandana Walvekar)
19.0759837,72.8776559,Imperial Mahal 2Nd Floor Above Shabana Stores Khodadad Circle Dadar Tt Mumbai,Ashirwad Transfusion And Chemotherapy Centre
19.019119,72.848349,"Savitri Sadan, 168-A, Dr. Ambedkar Road, Mumbai",Asmi Arthroscopy and Sports Medicine Institute
